Code,Product Name,Unit,Current Stock,Cost Price,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,Barcode
10028646,MAGGI PAZZTA TOMATO TWIST 64G,PCS,11,0,25,22.01,22,HINDUSTAN UNILEVER LTD,,,8901058891102
10028649,MAGGI POHA 65G,PCS,3,0,25,22.24,24,HINDUSTAN UNILEVER LTD,,,8901058865141
10022470,MAGGI SPEACIAL MASALA,PACK,20,0,15,0,15,NESTLE,,,8901058860726
10027248,MAGGI SWEET CHILLI 71G,PCS,4,0,20,18.18,19.8,HINDUSTAN UNILEVER LTD,,,8901058870473
10028648,MAGGI UPMA 65G,PCS,6,0,25,22.25,24,HINDUSTAN UNILEVER LTD,,,8901058865172
10024762,MAGGI VEG  ATTA 290G,PACK,14,0,86,0,84,NESTLE,,,8901058866711
10024857,MAGGI Veg Aata Noodles 72.5G,PACK,11,0,22,0,22,NESTLE,,,8901058866698
10010776,MAGGIE 2 minute 140g,PACK,397,0,24,0,23.5,NESTLE,,,8901058851304
10014045,MAGGIE 2 minute noodles 8 Packs 89/-,PACK,-5,0,91,0,88,NESTLE,,,8901058851335
10017285,MAGGIE 2 minute70gm,PACK,12884,0,12,0,12,NESTLE,,,8901058851298
10006557,MAGGIE Hot & Sweet Tomato Chilli Sauce 1kg,PACK,2,0,160,0,156,NESTLE,,,8901058101614
10000411,MAGGIE Hot & Sweet Tomato Sauce 200Gm,PACK,5,0,62,0,60,NESTLE,,,89000687
10014048,MAGGIE Imli Pichkoo 90gm 20/-,PACK,10,0,20,0,20,NESTLE,,,8901058842906
10013606,MAGGIE Pazzta Cheese Macaroni 25/-,PACK,-1,0,25,0,25,NESTLE,,,8901058847482
10013379,MAGGIE Pazzta Masala Penny 25/ 65G,PACK,11,0,25,0,24,NESTLE,,,8901058847505
10013605,MAGGIE Pazzta Mushroom Penne 25/-,PACK,8,0,25,0,24,NESTLE,,,8901058847529
10015338,MAGGIE Pazzta Tomato Twist 64gm 25/-,PACK,1,0,25,0,25,NESTLE,,,8901058847420
10012475,MAGGIE Pichkoo 90gm,PACK,30,0,15,0,15,NESTLE,,,8901058844894
10000376,MAGGIE Pichkoo Sauce16/-,PACK,37,0,15,0,14.5,NESTLE,,,8901058823660
10010666,MAGGIE Tomato Ketup 500gm,PACK,3,0,100,0,95,NESTLE,,,8901058101577
10000410,MAGGIE Tomato Sauce 200gm,PACK,-14,0,60,0,58,NESTLE,,,89000670
10028550,MAGGIO HONG KONG 73G,PCS,9,0,20,18.18,19.8,HINDUSTAN UNILEVER LTD,,,8901058864090
10004247,MAGIC Fluid Phenolic Green 60/-,PACK,-2,0,0,0,0,MAGIC,,,8906010040192
10004246,MAGIC Fluid Phenolic Orange 60/-,PACK,4,0,72,0,60,MAGIC,,,8906010040161
10026470,MAGIC MASALA DIMOND 35G,PCS,21595,0,15,8.5,15,GENERAL,,,8906004561573
10029037,MAGIC PURI 33G,PCS,36,0,5,3.75,5,HINDUSTAN UNILEVER LTD,,,8906023657554
10028826,MAGICAL MASALA 6G,PCS,8,0,5,3.5,5,HINDUSTAN UNILEVER LTD,,,8901560332254
10025981,MAGIX 40.8g,PCS,-6,0,5,0,5,PARLE,,,8901719103698
10015039,MAGIX KREAMS MANGO 60g,PACK,53,0,5,4.43,5,PARLE,,,8901719103711
10026046,MAHARAJA 650g,PCS,1,0,70,47,55,SANJAY CAKE,,,MAHARAJ47
10017850,MAIDA 1KG,PACK,-1,0,30,0,26,GENERAL,,,99901000000037
10017849,MAIDA 500GM 500G,PACK,-535,13,30,13,20,GENERAL,,,MAIDA
10028790,MAIDA HIMANSHU 1Kg,PCS,14,0,50,22,30,HINDUSTAN UNILEVER LTD,,,MAIDA22
10028667,MAKA KA AATA 500GM,PCS,2,0,40,27,35,HINDUSTAN UNILEVER LTD,,,MAKA27
10028662,MAKA POHA 250GM,PCS,-65,0,25,25,15,HINDUSTAN UNILEVER LTD,,,MUR 12.00
10019405,MAKHANA (1000 GM),KG,-1,0,700,0,640,GENERAL,,,99901000001144
10027813,MAKHANA 250Gm,PCS,37,0,200,135,150,HINDUSTAN UNILEVER LTD,,,88908009209009
10027814,MAKHANA BHOPALI 250Gm,PCS,7,0,200,135,150,HINDUSTAN UNILEVER LTD,,,8908009209009
10026694,MAKHANA HARI OM 250G,PCS,6,0,249,137.5,160,HINDUSTAN UNILEVER LTD,,,8908007167974
10028108,MAKHNE 100Gm,PCS,26,0,100,58,75,HINDUSTAN UNILEVER LTD,,,mha58
10027061,MAKHNE 250Gm,PCS,3,0,229,135,150,HINDUSTAN UNILEVER LTD,,,MAKH135
10028200,MAKHNE 250Gm,PCS,-4,0,170,140,150,HINDUSTAN UNILEVER LTD,,,MACRON140
10026847,MAKRONI 200Gm,PCS,-104,0,25,18,20,HINDUSTAN UNILEVER LTD,,,MAKRONI18
10027888,MAKRONI 200Gm,PCS,-52,0,30,16,20,HINDUSTAN UNILEVER LTD,,,MACRONI16
10027583,MAKRONI 300GM,PCS,1,0,30,18,20,HINDUSTAN UNILEVER LTD,,,35826094797
10010634,MALAs Froogle Fruti Chews Mix 240gm 50/-,PACK,1,0,50,0,48,MALAS FRUIT PRODUCTS,,,8901689701221
10023380,MAMMY L17,PACK,822216,0,195,0,190,GENERAL,,,8903622035233
10022916,MAMMY L4,PACK,14,0,48,0,45,GENERAL,,,8903622038012
10022913,MAMMY POKO L8,PACK,5,0,95,0,90,GENERAL,,,8903622035257
10022912,MAMMY POKO PANTS,PACK,7,0,99,0,95,GENERAL,,,8903622035127
10027058,MAMMY POKO PANTS,PCS,2,0,99,74.24,92,HINDUSTAN UNILEVER LTD,,,8903622000743
10027059,MAMMY POKO PANTS,PCS,5,0,50,37.5,48,HINDUSTAN UNILEVER LTD,,,8903622032959
10022911,MAMMY POKO PANTS S11,PACK,3,0,99,0,95,GENERAL,,,8903622035028
10022917,MAMMY S22,PACK,4,0,195,0,185,GENERAL,,,8903622035035
10022914,MAMMY S4,PACK,9,0,36,0,32,GENERAL,,,8903622037015
10019533,MAMY POKO L32,PACK,1,0,499,0,430,GENERAL,,,8903622037343
10027056,MAMY POKO PANTS,PCS,1,0,299,224.25,260,HINDUSTAN UNILEVER LTD,,,8903622000767
10028209,MAMY POKO PANTS M 7-12KG 36N,PCS,1,0,499,407.52,445,HINDUSTAN UNILEVER LTD,,,8903622000873
10022915,MAMY POKO PANTS M SIZE,PACK,-2,0,44,0,42,GENERAL,,,8903622037510
10023540,MAMY POKO PANTS M18,PACK,3,0,195,0,190,UNICHARM INDIA PVT. LTD.,,,8903622035134
10026972,MAMY POKO PANTS XL 26 PANTS,PCS,1,0,499,382.57,450,HINDUSTAN UNILEVER LTD,,,8903622000972
10026971,MAMY POKO PANTS XL SIZE,PCS,1,0,195,156,190,HINDUSTAN UNILEVER LTD,,,8903622035332
10023538,MAMY POKO PANTS XL4,PACK,2,0,62,0,58,UNICHARM INDIA PVT. LTD.,,,8903622035318
10023539,MAMY POKO PANTS XL7,PACK,1,0,110,0,105,UNICHARM INDIA PVT. LTD.,,,8903622178220
10028211,MAMY POKO WIPES 100 SHEETS,PCS,6,0,195,130,165,HINDUSTAN UNILEVER LTD,,,8903622010162
10024318,MAMY S42P,PACK,1,0,499,0,430,UNICHARM INDIA PVT. LTD.,,,8903622037145
10027072,MANGNET PERFUME 60Ml,PCS,1,0,190,120,160,HINDUSTAN UNILEVER LTD,,,8906110270031
10029145,MANGO 160ML,PCS,6,0,20,17,20,HINDUSTAN UNILEVER LTD,,,8906044993525
10012361,MANGO DRINK 1 l,PACK,1,0,50,42,48,PATANJALI AYURVED LTD.,,,8904109471209
10028510,MANGO PICKLE 200GM,PCS,12,0,50,33.5,42,HINDUSTAN UNILEVER LTD,,,8903553601439
10027498,MARBLE CAKE 300gM,PCS,1,0,150,90,140,HINDUSTAN UNILEVER LTD,,,8906018764090
10027347,MARI GOLD WIPER,PCS,2,0,155,75,95,HINDUSTAN UNILEVER LTD,,,8906063221524
10026499,MARIE 65.8GM,PCS,109,0,10,8.91,9.5,GENERAL,,,8901719116278
10026582,MARIE BISKITS,PCS,8,0,10,9,10,GENERAL,,,8901652140903
10027462,MARIE LITE BISCUITS 150Gm,PCS,7,0,20,18,20,HINDUSTAN UNILEVER LTD,,,8901652140286
10026439,MARIE LITE BISCUITS 45g,PCS,-43,0,5,4.5,5,GENERAL,,,8901652140897
10029139,MARKER,PCS,9,0,20,10,15,HINDUSTAN UNILEVER LTD,,,8904106854449
10029140,MARKER,PCS,10,0,10,7,10,HINDUSTAN UNILEVER LTD,,,8904106854517
10029138,MARKERS,PCS,10,0,25,15,20,HINDUSTAN UNILEVER LTD,,,8904106854470
10027970,MARS 51G,PCS,1,0,40,35.49,39,HINDUSTAN UNILEVER LTD,,,5000159407236
10027221,MASALA,PCS,-1,0,60,60,60,HINDUSTAN UNILEVER LTD,,,8901595863365
10025987,MASALA  PEANUT 22g,PCS,7,0,5,4.5,5,HALDIRAMS,,,8904004400496
10027466,MASALA BADEE 200Gm,PCS,2,0,48,35,40,HINDUSTAN UNILEVER LTD,,,MACRONI35
10026427,MASALA CHIPS,PCS,11,0,40,18,40,GENERAL,,,MASALA18
10029100,MASALA FALI DANA 200GM,PCS,5,0,50,30,40,HINDUSTAN UNILEVER LTD,,,MUNG30
10027488,MASALA KHARI 200GM,PCS,3,0,50,41,43,HINDUSTAN UNILEVER LTD,,,8906018763079
10028752,MASALA OATS 250G,'PCS,-1,0,97,85,93,HINDUSTAN UNILEVER LTD,,,8901088171755
10019729,MASOOR DAL (1000 GM),KG,-4,0,70,0,60,GENERAL,,,99901000001253
10026426,MASOOR DAL 1 Kg,PCS,-45,0,90,30,80,GENERAL,,,MASOOR72
10017905,MASOOR DAL 1KG,PACK,4,0,70,62,65,GENERAL,,,MASOOR62
10026049,MASOOR DAL 500g,PCS,-136,0,50,31,40,MAYUR,,,MASOOR35
10027434,MASOOR DAL 500Gm,PCS,8,0,50,38,40,HINDUSTAN UNILEVER LTD,,,MASOOR38
10027948,MASSOR 500Gm,PCS,-53,0,55,40,45,HINDUSTAN UNILEVER LTD,,,MASOOR40
10027985,MASTER PEN 5N,PCS,2,0,25,17,20,HINDUSTAN UNILEVER LTD,,,8901015619053
10029011,MASTER TRAY TOKRI,PCS,35,0,80,38,65,HINDUSTAN UNILEVER LTD,,,MASTER38
10028669,MATCH BOX,PCS,18,0,6,5,6,HINDUSTAN UNILEVER LTD,,,8906077870350
10028668,MATCH BOX 3 SET,PCS,3,0,18,15,17,HINDUSTAN UNILEVER LTD,,,8906077870374
10026731,MATER 500Gm,PCS,-56,0,60,42,45,HINDUSTAN UNILEVER LTD,,,MATER42
10028608,MATER 500GM,PCS,-31,0,60,45,50,HINDUSTAN UNILEVER LTD,,,MATER45
10027015,MATHRI 200GM,PCS,-15,0,40,22,30,HINDUSTAN UNILEVER LTD,,,MATHRI22
10027063,MAVA 325GM,PCS,-4,0,40,26,30,HINDUSTAN UNILEVER LTD,,,MAV26
10027529,MAVA TOST 300Gm,PCS,7,0,40,25,35,HINDUSTAN UNILEVER LTD,,,MAVA25
10027344,MAVA TOST 325Gm,PCS,3,26,45,26,35,HINDUSTAN UNILEVER LTD,,,MAWA26
10027289,MAVA TOST 350GM,PCS,6,0,40,25,35,HINDUSTAN UNILEVER LTD,,,MAWA25
10026805,MAWA RUSK 350Gm,PCS,-2,0,60,50,55,HINDUSTAN UNILEVER LTD,,,MAWA50
10027286,MAWA RUSK 350Gm,PCS,2,0,60,48,55,HINDUSTAN UNILEVER LTD,,,MAWA48
10026036,MAWA TOAST 250g,PCS,1,0,50,40,45,SANJAY CAKE,,,8908009158215
10027288,MAWA TOST 350Gm,PCS,10,0,40,25,35,HINDUSTAN UNILEVER LTD,,,CMAWA25
10026054,MAXFRESH COLGATE 84g,PCS,11,0,53,47,50,MAYUR,,,8901314312501
10026293,MAXO COIL,PCS,1,0,30,23,28,GENERAL,,,8902102197430
10011864,MAYBELLINE White Superfresh 8gm 150/-,PACK,12,0,0,0,0,GARNIER,,,8901526105496
10026208,MAYUR KAPR 45g,PCS,1,0,0,40,50,NILONs,,,KAPUR40
10029063,MAYUR RICE 25KG,PCS,-1,0,1000,650,700,HINDUSTAN UNILEVER LTD,,,MAYUR
10026992,MAYURI HENA MHENDI,PCS,10,0,10,13,9.5,HINDUSTAN UNILEVER LTD,,,8904242800010
10028966,MAYURI HENNA,PCS,24,0,5,3.34,5,HINDUSTAN UNILEVER LTD,,,8939997478924
10023784,MAYURI HENNA  NB 15gm,PACK,20,0,10,0,10,GENERAL,,,8904242800034
10025979,MAZELO 396g,PCS,1,0,100,84.35,95,PARLE,,,8901719109669
10028818,MC DIGESTIVE 61.75G,PCS,21,0,10,8.95,9.5,HINDUSTAN UNILEVER LTD,,,8906033740024
10018157,MC-VITIES DIGESTIVE COMBO PACK,PACK,1,0,80,0,76,GENERAL,,,8906033743254
10028821,MC-VITIES WHOLEWHEAT MARIE 200G,PCS,3,0,35,31.25,34,HINDUSTAN UNILEVER LTD,,,8906033741618
10006478,MCcain Aloo Tikki 160gm,PACK,5,0,45,0,44,MCCAIN FOODS (INDIA) PVT LTD,,,8906000610640
10006479,MCcain Aloo Tikki 400gm,PACK,2,0,95,0,90,MCCAIN FOODS (INDIA) PVT LTD,,,8906000610336
10006480,MCcain Chilli Garilc 200gm,PACK,6,0,49,0,48,MCCAIN FOODS (INDIA) PVT LTD,,,8906000610718
10006481,MCcain Chilli Garlic 400gm,PACK,4,0,115,0,110,MCCAIN FOODS (INDIA) PVT LTD,,,8906000610084
10006482,MCcain Frenchfries 200gm,PACK,7,0,49,0,48,MCCAIN FOODS (INDIA) PVT LTD,,,8906000610633
10006483,MCcain Frenchfries 420gm,PACK,4,0,95,0,92,MCCAIN FOODS (INDIA) PVT LTD,,,8906000610053
10007102,MCcain Masala Fries 375gm,PACK,4,0,115,0,112,MCCAIN FOODS (INDIA) PVT LTD,,,8906000610725
10025525,MCcain MINI SAMOSA 240G,PACK,3,0,120,0,118,MCCAIN FOODS (INDIA) PVT LTD,,,8906000611487
10025335,MCcain MINI SAMOSA 240gm,PACK,2,0,125,0,120,MCCAIN FOODS (INDIA) PVT LTD,,,8906000611494
