code,product_name,unit,stock,cost_price,mrp,purchase_price,sales_price,company,barcode
10009466,GAIA GREEN TEA+HONEY N LIME 25TB,PACK,7,79.8,190,79.8,100,COSMIC NUTRACOS SOLUTIONS PVT. LTD,8908000097957
10009467,GAIA GREEN TEA+LEMON 25TB,PACK,4,79.8,190,79.8,100,COSMIC NUTRACOS SOLUTIONS PVT. LTD,8908000097230
10026893,GAIA HIBISCUS 25BAGS,PCS,7,92.4,220,92.4,100,HINDUSTAN UNILEVER LTD,8906058611453
10026894,GAIA MORINGA 25 BAGS,PCS,7,92.4,220,92.4,100,HINDUSTAN UNILEVER LTD,8906058611460
10007697,GAIA OLIVE OIL 1LTR,PACK,7,430.5,1025,430.5,1000,COSMIC NUTRACOS SOLUTIONS PVT. LTD,8906058610098
10009464,GAIA OLIVE OIL 500ML,PACK,1,0,575,0,560,COSMIC NUTRACOS SOLUTIONS PVT. LTD,8908000097674
10028424,GAJAK 150GM,PCS,10,0,50,30,38,HINDUSTAN UNILEVER LTD,GAJAK30
10028345,GAJAK 300GM,PCS,4,0,50,30,35,HINDUSTAN UNILEVER LTD,PEANUT CHIKII
10021275,Gajanand Hing 25gm,PACK,3,0,60,0,40,Gajanand food PVT LTD,8906012570390
10021276,Gajanand Hing 50gm,PACK,2,0,120,0,70,Gajanand food PVT LTD,8906012570253
10027927,GAJRA JHADU,PCS,2,0,136,60,80,HINDUSTAN UNILEVER LTD,GAJRA60
10026282,GALA AOLS MULIGRAINS 500g,PCS,1,0,125,50,70,GAIA,8906058611200
10026281,GALA AOTS ORIGNAL 500g,PCS,2,0,100,40,70,GAIA,8906058611194
10026283,GALA OLIVE OIL 250ML,PCS,4,0,500,190.5,500,GAIA,8908000097667
10006642,GALAXY 25G,PACK,22,0,20,0,20,MARS GCC FZE,6221134003048
10028422,GANGA JAL,PCS,24,0,20,8,10,HINDUSTAN UNILEVER LTD,GANG8
10009371,Gangal JwarAata 1kg,PACK,3,0,60,0,50,GANGAWAL,8906021510523
10000624,GANGWAL AATA 5KG,PACK,3,0,208,0,165,GANGAWAL,8906021510486
